track,artist,album,popularity_score,track_id,track_uri,spotify_link,preview,album_image_large,album_image_small,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Memories (feat. Kid Cudi),David Guetta,One Love (Deluxe),71,4dTaAiV9xFFCxnPur9c9yL,spotify:track:4dTaAiV9xFFCxnPur9c9yL,https://open.spotify.com/track/4dTaAiV9xFFCxnPur9c9yL,https://p.scdn.co/mp3-preview/102a700dff70a8cab9e9cba63b052d64b4e3be1c?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02b2e43ed3850e072831f7b2c6,https://i.scdn.co/image/ab67616d00004851b2e43ed3850e072831f7b2c6,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,210093,4
SKYBOX,Gunna,SKYBOX,66,7GwYENSg87oERcW0Wacd6m,spotify:track:7GwYENSg87oERcW0Wacd6m,https://open.spotify.com/track/7GwYENSg87oERcW0Wacd6m,https://p.scdn.co/mp3-preview/2b6c705751849e7da94eb07efaa397530e7dbb08?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02fd2e59964377c48a0ee0d4a3,https://i.scdn.co/image/ab67616d00004851fd2e59964377c48a0ee0d4a3,0.779,0.707,1,-6.527,1,0.16,0.0991,0.0,0.0934,0.343,140.894,178097,4
Complete Control,AC Slater,Hi8,22,6SybrOitfPbVbpOFeIgydq,spotify:track:6SybrOitfPbVbpOFeIgydq,https://open.spotify.com/track/6SybrOitfPbVbpOFeIgydq,https://p.scdn.co/mp3-preview/d8e8d5b1c2631a2ee5cad0cdf522b0338c8e5d70?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e029c3b06fcfcbec07f70532486,https://i.scdn.co/image/ab67616d000048519c3b06fcfcbec07f70532486,0.84,0.943,9,-6.105,0,0.0807,0.00373,0.0411,0.193,0.909,127.985,279400,4
Friday Morning,Khruangbin,Con Todo El Mundo,53,5gYGXwHud7JFReP9W61wGt,spotify:track:5gYGXwHud7JFReP9W61wGt,https://open.spotify.com/track/5gYGXwHud7JFReP9W61wGt,https://p.scdn.co/mp3-preview/129e3829acf011da90fc788b07ad7ca0ef5169ee?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0212db5c86831c0ee134ea3ba3,https://i.scdn.co/image/ab67616d0000485112db5c86831c0ee134ea3ba3,0.36,0.261,11,-13.639,0,0.0319,0.125,0.843,0.105,0.443,78.025,410900,4
Dreaming of You,L'Impératrice,Matahari (French Version),42,6fGmNs09PPcQ3NGIFLeXAB,spotify:track:6fGmNs09PPcQ3NGIFLeXAB,https://open.spotify.com/track/6fGmNs09PPcQ3NGIFLeXAB,https://p.scdn.co/mp3-preview/c11c9c38cd0f0e424feba558829a904cec62073f?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e025a27a28ae29e671a7a967657,https://i.scdn.co/image/ab67616d000048515a27a28ae29e671a7a967657,0.776,0.546,0,-11.036,1,0.066,0.0941,0.217,0.12,0.587,89.988,263507,4
Snitches & Rats (feat. Young Nudy),21 Savage,SAVAGE MODE II,68,3WaDoMDQRqDdgtCDLxanpN,spotify:track:3WaDoMDQRqDdgtCDLxanpN,https://open.spotify.com/track/3WaDoMDQRqDdgtCDLxanpN,https://p.scdn.co/mp3-preview/1095f4203280748b976f9336ebe7dd9ef5b75bea?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,https://i.scdn.co/image/ab67616d00004851aa57907bf0cb2ca0c8cc74bc,0.821,0.671,9,-5.893,1,0.18,0.00843,8.5e-05,0.0972,0.494,145.953,187773,4
Another Day,Kid Cudi,Man On The Moon III: The Chosen,80,6myUpr3GDR80Dg3zqNTmmG,spotify:track:6myUpr3GDR80Dg3zqNTmmG,https://open.spotify.com/track/6myUpr3GDR80Dg3zqNTmmG,https://p.scdn.co/mp3-preview/0270d8150fcbd742698b28fdfa769661cff59226?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e026f43a625b608f7177caa18c9,https://i.scdn.co/image/ab67616d000048516f43a625b608f7177caa18c9,0.646,0.758,4,-7.75,0,0.0708,0.556,0.00316,0.335,0.0642,172.995,199787,4
The Morning,The Weeknd,Trilogy,72,6u0dQik0aif7FQlrhycG1L,spotify:track:6u0dQik0aif7FQlrhycG1L,https://open.spotify.com/track/6u0dQik0aif7FQlrhycG1L,https://p.scdn.co/mp3-preview/b2375e919fb24827d712542c2b64ae19e192dba4?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e02b298538481c52f7e217ed000,https://i.scdn.co/image/ab67616d00004851b298538481c52f7e217ed000,0.652,0.549,6,-7.555,0,0.039,0.317,0.0,0.104,0.186,120.073,312427,4
Agitations tropicales,L'Impératrice,Odyssée - EP,62,2La21GqU4fKTQLcfLxTeoz,spotify:track:2La21GqU4fKTQLcfLxTeoz,https://open.spotify.com/track/2La21GqU4fKTQLcfLxTeoz,https://p.scdn.co/mp3-preview/9f9a1220b4d95cc875784305e5ce71f4421f20e7?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e0291d5af63d5acc752950d5927,https://i.scdn.co/image/ab67616d0000485191d5af63d5acc752950d5927,0.76,0.401,1,-9.537,0,0.0674,0.564,0.259,0.0977,0.619,115.989,248892,4
Drifter,Hippie Sabotage,Drifter,64,1DehtVbbTjUQjxGaXd5PnH,spotify:track:1DehtVbbTjUQjxGaXd5PnH,https://open.spotify.com/track/1DehtVbbTjUQjxGaXd5PnH,https://p.scdn.co/mp3-preview/c698ac30a508763ea95f7dda0a91b1068150ed9c?cid=01e5c3c39a334ae78bf5becf053ad2d5,https://i.scdn.co/image/ab67616d00001e022dfa7761d4918777330d9794,https://i.scdn.co/image/ab67616d000048512dfa7761d4918777330d9794,0.389,0.308,7,-14.46,0,0.0751,0.853,0.937,0.172,0.13,129.138,210308,4
