track,artist,data_type,popularity_artist,popularity_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,key,time_signature,release_date,alternative,baltic_slavic,bluegrass,blues,celtic,country,dance,disco,edm,electro,english,folk,germanic,hip hop,house,jam band,jazz,other,piano,pop,psychedelic,punk,r&b,rap,reggae,rock,romance,soul,south_american,swing,techno,trance
WHATS POPPIN,Jack Harlow,user_library,86,84.0,0.923,0.604,-6.671,0.245,0.017,0.0,0.272,0.826,145.062,0,11,4,2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
What Can I Do,A-Trak,user_library,65,0.0,0.813,0.719,-7.992,0.0405,0.0508,0.873,0.048,0.62,123.989,0,10,4,2019-11-22,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Light Green Light,Duke Dumont,user_library,71,69.0,0.811,0.825,-5.48,0.0654,0.000646,0.517,0.0689,0.95,124.005,1,2,4,2019-02-22,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Intentions,Justin Bieber,user_library,96,81.0,0.811,0.553,-6.644,0.0552,0.317,0.0,0.105,0.86,148.014,1,9,4,2020-02-07,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
D4L,Future,user_library,91,67.0,0.718,0.706,-5.709,0.06,0.0128,0.0,0.352,0.815,170.004,1,1,4,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Holy Water - Steff da Campo Remix,Galantis,user_library,77,35.0,0.702,0.859,-5.579,0.0554,0.028,0.103,0.107,0.38,126.04,1,1,4,2020-04-03,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I Leave Again,Petit Biscuit,user_library,73,14.0,0.755,0.614,-9.481,0.0548,0.542,0.00879,0.0937,0.148,124.02,1,2,4,2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OG Beeper,A$AP Rocky,user_library,85,57.0,0.91,0.477,-5.259,0.418,0.121,0.0,0.305,0.313,145.994,1,2,4,2018-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Proud Of U (feat. Young Thug),EARTHGANG,user_library,72,63.0,0.768,0.456,-8.676,0.354,0.0691,0.0,0.162,0.39,77.582,1,2,4,2019-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4th Dimension,KIDS SEE GHOSTS,user_library,67,68.0,0.765,0.542,-6.755,0.39,0.278,1.87e-05,0.609,0.734,171.945,1,1,4,2018-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jet Lag,A$AP Ferg,user_library,78,64.0,0.853,0.803,-3.297,0.292,0.0085,2.41e-05,0.104,0.433,169.957,1,11,4,2019-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
The Bloodiest,Jay Rock,user_library,74,47.0,0.635,0.652,-4.303,0.127,0.0757,3.35e-05,0.337,0.322,147.955,0,0,4,2018-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kulikitaka,Toño Rosario,user_library,55,0.0,0.58,0.835,-8.184,0.139,0.524,6.78e-06,0.049,0.892,155.782,1,10,4,2020-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
VAULTS,BRONSON,user_library,60,3.0,0.652,0.96,-2.861,0.0438,0.036,0.868,0.203,0.156,124.015,0,9,4,2020-04-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEART ATTACK (feat. lau.ra),BRONSON,user_library,60,16.0,0.735,0.65,-5.815,0.0737,0.161,0.21,0.109,0.122,122.048,0,6,4,2020-04-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Make You Mine,PUBLIC,user_library,69,80.0,0.606,0.799,-4.452,0.0261,0.0128,0.0,0.15,0.638,103.014,1,9,4,2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Scared to Be Lonely,Martin Garrix,user_library,82,79.0,0.584,0.54,-7.786,0.0576,0.0895,0.0,0.261,0.195,137.972,0,1,4,2017-01-27,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
One Kiss,Calvin Harris,user_library,87,0.0,0.797,0.819,-4.351,0.12,0.0371,3.42e-05,0.0773,0.581,124.022,0,9,4,2018-10-19,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Homesick,Dua Lipa,user_library,94,50.0,0.426,0.224,-8.683,0.0391,0.948,0.0,0.112,0.399,85.728,1,6,5,2018-10-19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
